element,Atomic weight (g/mol),Atomic number,Period,Group,Quantum number ℓ,Metal(1)/metalloid(2)/nonmetal(3),Mendeleev_number,Families,Valence_s,Valence_p,Valence_d,Valence_f,Unfilled_s,Unfilled_p,Unfilled_d,Unfilled_f,No. of valence electrons,Outer shell electrons,Gilman no. of valence electrons,Metallic valence,Zeff,Ionization energy (kJ/mol),Electron affinity (kJ/mol),Pauling EN,Martynov Batsanov EN,Mulliken EN,Allred EN,Allred Rockow EN,Nagle EN,Ghosh EN,Atomic radius calculated (m),Covalent radius(m),Effective ionic radius(m),Miracle radius (m),van der Waals radius (m),Slater radius(m),"Pauling, R(CN12) (m)","Pauling, R(1) (m)",Polarizability (m^3),Boiling point (K),Density (g/L),Specific heat (kJ/g K),Heat of fusion (kJ/mol),Heat of vaporization (kJ/mol),Heat of atomization (kJ/mol),Thermal conductivity (W/m K),Thermal expansion (1/K),Cohesive energy (kJ/mol),Bulk modulus (Pa),Shear modulus (Pa),Young's modulus (Pa),Hardness Vickers (Pa),Hardness Brinell (Pa),Resistivity (Ω),Electrical Conductivity (S/m),DFT LDA Etot (kJ/mol),DFT LDA Ekin (kJ/mol),DFT LDA Ecoul (kJ/mol),DFT LDA Eenuc (kJ/mol),DFT LDA Exc (kJ/mol),DFT LSD Etot (kJ/mol),DFT LSD Ekin (kJ/mol),DFT LSD Ecoul (kJ/mol),DFT LSD Eenuc (kJ/mol),DFT LSD Exc (kJ/mol),DFT RLDA Etot (kJ/mol),DFT RLDA Ekin (kJ/mol),DFT RLDA Ecoul (kJ/mol),DFT RLDA Eenuc (kJ/mol),DFT RLDA Exc (kJ/mol),DFT ScRLDA Etot (kJ/mol),DFT ScRLDA Ekin (kJ/mol),DFT ScRLDA Ecoul (kJ/mol),DFT ScRLDA Eenuc (kJ/mol),DFT ScRLDA Exc (kJ/mol)
La,138.906,57,6,3,2,1,13,3,2,0,1,0,0,6,9,14,3,2,1,3,3.84,538.0985181,44.9621498,1.1,1.35,3.1,1.1,1.09,1.04,1.13,1.95E-10,1.69E-10,1.03E-10,1.87E-10,2.5E-10,1.95E-10,1.871E-10,1.69E-10,3.11E-29,3727.15,6150,0.00019,6.2,414,423,13.5,0.0000121,431.289291,27900000000,14000000000,37000000000,491000000,363000000,6.1E-10,1600000,-21575243.77,21564826.17,8441030.045,-51080401.49,-500698.4849,-21575254.45,21564839.41,8441154.909,-51080536.23,-500712.5392,-22259337.5,23749533.33,8617267.171,-54142579.82,-483558.1628,-22248429.61,23464063.06,8600768.965,-53830949.25,-482312.3867
Ce,140.115,58,6,3,3,1,15,3,2,0,1,1,0,6,9,13,4,2,3,3.2,3.774,534.4320767,635.4521858,1.12,1.1,3.1,1.12,1.09,1.05,1.89,1.85E-10,1.65E-10,1.01E-10,1.82E-10,2.48E-10,1.85E-10,1.818E-10,1.646E-10,2.96E-29,3530.15,6770,0.00019,5.46,414,419,11.4,0.0000063,416.816496,21500000000,14000000000,34000000000,270000000,412000000,7.5E-10,1400000,-22483102.43,22472445.89,8800238.946,-53240357.42,-515429.8398,-22483135.8,22472484.16,8800547.419,-53240696.1,-515471.2807,-23222249.67,24838550.95,8986532.162,-56550030.68,-497302.1144,-23210039.53,24526959.02,8968723.981,-56209736.29,-495986.227
Pr,140.908,59,6,3,3,1,17,3,2,0,0,3,0,6,10,11,5,2,3,3.1,3.8,528.0640469,93.2047998,1.13,1.1,3.1,1.13,1.09,1.06,2.92,2.47E-10,1.65E-10,9.9E-11,1.83E-10,2.47E-10,1.85E-10,1.824E-10,1.648E-10,2.82E-29,3290.15,6770,0.00019,6.89,296.8,356,12.5,0.0000067,356.99561,28800000000,15000000000,37000000000,400000000,481000000,7E-10,1400000,-23413327.8,23402397.21,9210813.617,-55495102.16,-531436.4736,-23413462.77,23402544.35,9212250.456,-55496643.62,-531613.9574,-24210696.16,25961137.54,9403538.274,-59063198.09,-512173.8969,-24197058.02,25621696.83,9384419.21,-58692384.78,-510789.279
Nd,144.242,60,6,3,3,1,19,3,2,0,0,4,0,6,10,10,6,2,3,3.1,3.822,533.0812825,185.0588054,1.14,1.2,3.1,1.14,1.09,1.03,4.28,2.06E-10,1.84E-10,1.29E-10,1.82E-10,2.29E-10,1.85E-10,1.818E-10,1.642E-10,3.14E-29,3400.15,7010,0.00019,7.14,273,328,16.5,0.0000096,328.05002,31800000000,16000000000,41000000000,343000000,265000000,6.4E-10,1600000,-24365456.63,24354280.93,9596066.013,-57769046.37,-546757.2086,-24365705.09,24354551.09,9598321.176,-57771503.6,-547073.7494,-25224856.75,27118936.84,9800555.851,-61617900.06,-526449.3705,-25209646.04,26749342.03,9779983.386,-61213979.86,-524991.6141
Pm,144.913,61,6,3,3,1,21,3,2,0,0,5,0,6,10,9,7,2,3,3,3.794,538.5809446,12.0606625,1.13,1.15,3.1,1.16,1.09,1.04,6,2.05E-10,1.63E-10,9.7E-11,1.85E-10,2.43E-10,1.85E-10,,,3.01E-29,3273.15,7260,0.00018,7.88,214,301,15,0.000011,308.75296,33000000000,18000000000,46000000000,410000000,440000000,7.5E-10,1300000,-23413327.8,23402397.21,9210813.617,-55495102.16,-531436.4736,-23413462.77,23402544.35,9212250.456,-55496643.62,-531613.9574,-24210696.16,25961137.54,9403538.274,-59063198.09,-512173.8969,-24197058.02,25621696.83,9384419.21,-58692384.78,-510789.279
Sm,150.36,62,6,3,3,1,23,3,2,0,0,6,0,6,10,8,8,2,3,2.8,3.847,544.5630332,16.0165598,1.17,1.2,3.1,1.17,1.09,1.05,8.13,2.38E-10,1.62E-10,1.22E-10,1.85E-10,2.42E-10,1.85E-10,1.85E-10,1.66E-10,2.88E-29,2067.15,7520,0.0002,8.63,166.4,207,13.3,0.0000127,206.478542,37800000000,20000000000,50000000000,412000000,441000000,9.4E-10,1100000,-26337070.74,26325396.82,10404651.14,-62488877.84,-578240.8814,-26337660.45,26326034.9,10408915.03,-62493647.22,-578963.1486,-27331929.11,29542380.07,10634586.46,-66953163.65,-555731.9842,-27313104.44,29105673.59,10610860.47,-66475515.05,-554123.427
Eu,151.965,63,6,3,3,1,25,3,2,0,0,7,0,6,10,7,9,2,3,2,3.871,547.071651,82.977358,1.2,1.15,3.1,1.18,1.09,1.06,10.7,2.31E-10,1.85E-10,1.17E-10,1.96E-10,2.4E-10,1.85E-10,2.084E-10,1.85E-10,2.77E-29,1802.15,5240,0.00018,9.21,143.5,178,13.9,0.000035,179.462658,14700000000,7900000000,18000000000,167000000,,9E-10,1100000,-27356950.65,27345024,10828060.47,-64935636.16,-594398.954,-27357770.78,27345909.43,10833501.83,-64941791.91,-595390.1118,-28425586.02,30809854.37,11071669.74,-69736379.17,-570730.9432,-28404694.52,30335896.8,11046235.22,-69217781.64,-569044.8865
Gd,157.25,64,6,3,3,1,27,3,2,0,1,7,0,6,9,7,10,2,3,3,4.034,593.384595,13.0255155,1.2,1.1,3.1,1.2,1.09,1.1,13.8,2.33E-10,1.61E-10,9.4E-11,1.76E-10,2.38E-10,1.8E-10,1.795E-10,1.614E-10,2.35E-29,3546.15,7900,0.00023,10.05,359.4,398,10.6,0.0000094,399.449142,37900000000,22000000000,55000000000,570000000,180000000,1.3E-09,770000,-28399124.76,28386976.18,11220665.52,-67397019.1,-609747.354,-28400074.43,28388000.57,11225831.42,-67403051.55,-610854.8739,-29546119.94,32116022.38,11483344.75,-72560477.68,-585009.4073,-29522964.26,31601849.31,11455985.63,-71997559.01,-583240.2036
Tb,158.925,65,6,3,3,1,29,3,2,0,0,9,0,6,10,5,11,2,3,3,3.976,565.7897992,111.3440362,1.2,1.2,3.1,1.21,1.09,1.08,17.4,2.25E-10,1.59E-10,9.2E-11,1.76E-10,2.37E-10,1.75E-10,1.773E-10,1.592E-10,2.55E-29,3503.15,8230,0.00018,10.8,330.9,389,11.1,0.0000103,390.765465,38700000000,22000000000,56000000000,863000000,677000000,1.2E-09,830000,-29465834.17,29453395.52,11713619.73,-70005305.8,-627543.6179,-29466270.16,29453864.51,11715936.6,-70008011.79,-628059.463,-30695042.78,33461136.2,11986522.71,-75541268.46,-601433.2593,-30669427.98,32904486.39,11957386.73,-74931712.55,-599588.5357
Dy,162.5,66,6,3,3,1,31,3,2,0,0,10,0,6,10,4,12,2,3,3,3.963,573.0261967,33.9628256,1.22,1.15,3.1,1.22,1.09,1.09,21.6,2.28E-10,1.59E-10,1.07E-10,1.75E-10,2.35E-10,1.75E-10,1.77E-10,1.589E-10,2.45E-29,2840.15,8550,0.00017,11.06,230.1,291,10.7,0.00001,293.315312,40500000000,25000000000,61000000000,540000000,500000000,9.1E-10,1100000,-30555226.79,30542529.06,12176038.58,-72629264.13,-644530.3272,-30555510.66,30542833.88,12177422.81,-72630903.65,-644863.6817,-31871621.49,34846987.29,12464589.27,-78566063.95,-617134.0906,-31843319.3,34244547.02,12433451.86,-77906109.71,-615208.4649
Ho,164.93,67,6,3,3,1,33,3,2,0,0,11,0,6,10,3,13,2,3,3,3.994,581.0344766,32.9979726,1.23,1.2,3.1,1.23,1.09,1.1,26.4,2.26E-10,1.58E-10,9E-11,1.77E-10,2.33E-10,1.75E-10,1.761E-10,1.58E-10,2.36E-29,2973.15,8800,0.00016,12.2,241,301,16.2,0.0000112,302.963842,40200000000,26000000000,64000000000,481000000,746000000,9.4E-10,1100000,-31668178.58,31655219.77,12651750.53,-75313355,-661793.8876,-31668340.76,31655393.63,12652483.58,-75314234.8,-661983.1599,-33076630.94,36274409.42,12956637.85,-81674611.34,-633066.8743,-33045401.93,35622964.9,12923392.78,-80960700.11,-631059.4984
Er,167.259,68,6,3,3,1,35,3,2,0,0,12,0,6,10,2,14,2,3,3,4.018,589.3322124,30.0069283,1.24,1.2,3.1,1.24,1.09,1.11,31.9,2.26E-10,1.57E-10,8.9E-11,1.75E-10,2.32E-10,1.75E-10,1.748E-10,1.567E-10,2.27E-29,3141.15,9070,0.00017,19.9,261,317,14.3,0.0000122,317.436637,44400000000,28000000000,70000000000,588000000,814000000,8.6E-10,1200000,-32804882.9,32791661.14,13140916.32,-78058125.37,-679335.0054,-32804956.02,32791739.41,13141224.93,-78058500.48,-679419.8852,-34310478.23,37744531.52,13462846.97,-84868625.77,-649230.9567,-34276064.86,37040666,13427383.55,-84096973.26,-647141.1638
Tm,168.934,69,6,3,3,1,37,3,2,0,0,13,0,6,10,1,15,2,3,3,3.921,596.6650952,98.9939178,1.25,1.2,3.1,1.25,1.09,1.12,38.1,2.22E-10,1.56E-10,1.03E-10,1.75E-10,2.3E-10,1.75E-10,1.743E-10,1.562E-10,2.18E-29,2223.15,9320,0.00016,16.84,191,232,16.8,0.0000133,233.494426,44500000000,31000000000,74000000000,520000000,471000000,7E-10,1400000,-33965532.93,33952046.39,13643702.51,-80864127.29,-697154.5259,-33965551.47,33952066.16,13643775.92,-80864217.63,-697175.929,-35573578.3,39258530.48,13983401.63,-88149884.62,-665625.7865,-35535703.67,38498611.64,13945604.76,-87316466.98,-663453.0986
Yb,173.045,70,6,3,3,1,39,3,2,0,0,14,0,6,10,0,16,2,3,2,4.048,603.4190662,-2.0261913,1.1,1.1,3.1,1.26,1.09,1.13,45.1,2.22E-10,1.56E-10,1.02E-10,1.9E-10,2.28E-10,1.75E-10,1.933E-10,1.699E-10,2.1E-29,1469.15,6900,0.00015,7.66,128.9,152,34.9,0.0000263,154.37648,30500000000,10000000000,24000000000,206000000,343000000,2.8E-10,3600000,-35150321.57,35136568.44,14160280.06,-83731916.7,-715253.3918,-35150321.57,35136568.44,14160280.06,-83731916.7,-715253.3918,-36866354.33,40817634.61,14518491.82,-91520229.93,-682250.8568,-36824721.04,39997800.52,14478241.96,-90620768.53,-679995.0167
Lu,174.967,71,6,3,2,1,41,3,2,0,1,14,0,6,9,0,17,2,1,3,4.034,523.5292378,32.9979726,1.27,1.2,3.1,1.27,1.09,1.12,52.9,2.17E-10,1.6E-10,8.6E-11,1.75E-10,2.27E-10,1.75E-10,1.738E-10,1.557E-10,2.19E-29,3675.15,9840,0.00015,18.6,355.9,427,16.4,0.00001,427.429879,47600000000,27000000000,67000000000,1160000000,893000000,5.7E-10,1800000,-36358528.86,36344543.22,14637754.06,-86608436.55,-732389.5708,-36358540.39,36344557.32,14638016.85,-86608708.32,-732406.2244,-38188735.8,42423448.2,15021371.53,-94935522.34,-698033.1626,-38143016.47,41539206.89,14978231.04,-93964769.03,-695685.3906
Hf,178.49,72,6,4,2,1,45,4,2,0,2,14,0,6,8,0,18,2,2,4,4.298,658.5121725,2.0261913,1.3,1.73,3.8,1.39,1.16,1.2,61.3,2.08E-10,1.5E-10,7.1E-11,1.58E-10,2.25E-10,1.55E-10,1.585E-10,1.442E-10,1.62E-29,4873.15,13300,0.00014,24.06,575,619,23,0.0000059,621.365332,1.09E+11,30000000000,78000000000,1760000000,1700000000,3E-10,3300000,-37590579.76,37576357.9,15124422.27,-89541704.25,-749655.6911,-37590628.31,37576416.48,15125147.12,-89542471.98,-749719.9319,-39541092.36,44076650.88,15533697.49,-98437568.54,-713872.1819,-39490940.27,43123516.11,15487610.68,-97390633.14,-711433.922
Ta,180.948,73,6,5,2,1,48,4,2,0,3,14,0,6,7,0,19,2,3,5,4.593,728.464015,29.7174724,1.5,1.94,4.11,1.79,1.34,1.26,71,2E-10,1.38E-10,7.2E-11,1.45E-10,2.2E-10,1.45E-10,1.457E-10,1.343E-10,1.31E-29,5698.15,16400,0.00014,31.6,743,782,57.5,0.0000063,781.53093,1.96E+11,67000000000,1.86E+11,873000000,800000000,1.3E-10,7700000,-38846593.97,38832133.37,15620038.56,-92531704.39,-767061.5116,-38846706.68,38832267.74,15621308.76,-92533079.41,-767203.7743,-40923801.85,45778565.14,16055720.74,-102028295.4,-729792.3002,-40868845.7,44751779.38,16006540.05,-100899901.5,-727263.5971
W,183.84,74,6,6,2,1,51,4,2,0,4,14,0,6,6,0,20,2,4,5.78,4.593,758.7603992,77.8636371,2.36,1.79,4.4,2.36,1.47,1.31,81.4,1.93E-10,1.46E-10,6.6E-11,1.35E-10,2.1E-10,1.35E-10,1.394E-10,1.299E-10,1.11E-29,5933.15,19300,0.00013,35.4,824,849,174,0.0000045,858.71917,3.11E+11,1.61E+11,4.11E+11,3430000000,2570000000,5E-11,20000000,-40126694.88,40111993.36,16124861.47,-95578931.73,-784617.9676,-40126899.8,40112235.2,16126739.78,-95581005.85,-784868.9418,-42337259.83,47530601.54,16587885.74,-105709938.8,-745808.3044,-42277101.7,46425109.09,16535442.01,-104494463.6,-743189.1345
Re,186.207,75,6,7,2,1,54,4,2,0,5,14,0,6,5,0,21,2,5,5.78,4.564,755.8658402,13.8938832,1.9,2.06,4.02,2.83,1.6,1.35,92.9,1.88E-10,1.59E-10,6.3E-11,1.37E-10,2.05E-10,1.35E-10,1.373E-10,1.278E-10,9.7E-30,5873.15,20800,0.00013,33.2,715,770,47.9,0.0000062,774.776959,3.34E+11,1.78E+11,4.63E+11,2450000000,1320000000,1.8E-10,5600000,-41431009.67,41416065.17,16639200.45,-98683941.03,-802334.2535,-41431335.55,41416446.47,16641742.08,-98686799.09,-802724.9935,-43781878.14,49334252.02,17130616.7,-109484816.3,-761930.5679,-43716091.52,48144676.77,17074727.76,-108176275,-759221.0597
Os,190.23,76,6,8,2,1,57,4,2,0,6,14,0,6,4,0,22,2,5,5.78,5.648,814.1429614,102.8533298,2.2,1.85,4.9,2.78,1.65,1.39,105.3,1.85E-10,1.28E-10,6.3E-11,1.35E-10,2E-10,1.3E-10,1.35E-10,1.255E-10,8.5E-30,5303.15,22570,0.00013,31.8,746,791,87.6,0.0000051,788.284901,3.73E+11,2.22E+11,,4137063913,3920000000,8E-11,12000000,-42759668.6,42744479.08,17163348.8,-101847278.6,-820217.9255,-42759878.85,42744722.89,17164753.22,-101848888.8,-820466.1192,-45258083.95,51191091.94,17684293.83,-113355303,-778166.7308,-45186211.88,49911714.46,17624766.59,-111947325.7,-775367.252
Ir,192.217,77,6,9,2,1,60,4,2,0,7,14,0,6,3,0,23,2,4,5.78,4.908,865.1836851,148.7803326,2.2,1.87,5.4,2.2,1.68,1.43,118.8,1.8E-10,1.37E-10,6.8E-11,1.36E-10,2E-10,1.35E-10,1.355E-10,1.26E-10,7.6E-30,4403.15,22420,0.00013,26.1,604,665,147,0.0000064,669.607982,3.71E+11,2.1E+11,5.28E+11,1760000000,1670000000,4.7E-11,21000000,-44112804.2,44097367.78,17697573.92,-105069470.7,-838275.2271,-44112923.37,44097504.94,17698279.83,-105070293.9,-838414.2499,-46766319.52,53102783.79,18249258.27,-117323839,-794522.5587,-46687872.57,51727517.48,18185889.23,-115809645.5,-791633.7762
Pt,195.084,78,6,10,2,1,63,4,1,0,9,14,1,6,1,0,24,1,3,5.78,4.883,864.4118027,204.1628948,2.28,1.91,5.6,2.28,1.72,1.49,133.4,1.77E-10,1.28E-10,8E-11,1.39E-10,1.75E-10,1.35E-10,1.385E-10,1.29E-10,6.5E-30,4100.15,21460,0.00013,19.6,510,565,71.6,0.0000089,563.474152,2.76E+11,61000000000,1.68E+11,549000000,392000000,1.1E-10,9400000,-45490926.29,45475216.53,18269144.53,-108378250.7,-857036.5827,-45490962.33,45475260.79,18269663.43,-108378804.9,-857081.7019,-48307141.08,55070491.39,18845927.84,-121412162.4,-811397.9337,-48221593.37,53593174.05,18778596.83,-119784940.5,-808423.7515
Au,196.967,79,6,11,2,1,66,4,1,0,10,14,1,6,0,0,25,1,2,5.44,4.938,890.1733778,223.0740136,2.54,1.19,5.77,2.54,1.92,1.53,149.1,1.74E-10,1.44E-10,1.37E-10,1.43E-10,1.66E-10,1.35E-10,1.439E-10,1.336E-10,6.1E-30,3353.15,19282,0.000128,12.55,334.4,366,317,0.0000142,367.608993,1.71E+11,27000000000,78000000000,216000000,2450000000,2.2E-11,45000000,-46893506.61,46877544.7,18826268.77,-111721817.7,-875502.3412,-46893521.39,46877564.18,18826568.77,-111722131.3,-875523.0853,-49880889.18,57097255.38,19435955.37,-125586057.8,-828042.1413,-49787681.04,55510697.24,19364355.99,-123837752.9,-824981.3623
Hg,200.592,80,6,12,2,1,71,4,2,0,10,14,0,6,0,0,26,2,1,4.44,4.04,1007.113561,-49.9793854,2,1.49,4.91,2,1.76,1.54,166,1.71E-10,1.49E-10,1.19E-10,1.52E-10,1.55E-10,1.5E-10,1.57E-10,1.44E-10,5.4E-30,630.15,13533.6,0.000139,2.295,59.229,61,8.34,0.000181,64.645151,38200000000,,,,,9.6E-10,1000000,-48320421.96,48304233.58,19363049.36,-115094167.4,-893537.5282,-48320421.96,48304233.58,19363049.36,-115094167.4,-893537.5282,-51487855.46,59185017.27,20014869.01,-129843394.7,-844347.0896,-51386389.13,57481497.2,19938647.06,-127965335.4,-841197.9652
Tl,204.383,81,6,13,1,1,76,5,2,1,10,14,0,5,0,0,27,3,3,3.44,4.07,589.3322124,35.9890169,1.62,1.69,3.2,2.04,1.789,1.59,3.3,1.56E-10,1.48E-10,1.5E-10,1.72E-10,1.96E-10,1.9E-10,1.712E-10,1.549E-10,7.6E-30,1730.15,11800,0.00013,4.142,164.1,182,46.1,0.0000299,181.392364,28500000000,2800000000,8000000000,,26400000,1.5E-10,6700000,-49771492.26,49755090.13,19893263.12,-118508386.1,-911459.438,-49771503.99,49755105.57,19893576.97,-118508710.5,-911476.0758,-53127837.73,61334120.01,20584518.8,-134186068.1,-860408.4336,-53017461.37,59505887.37,20503022.69,-132169204.9,-857166.5502
Pb,207.2,82,6,14,1,1,81,5,2,2,10,14,0,4,0,0,28,4,4,2.44,4.426,715.6314701,33.9628256,1.87,1.92,3.9,2.33,1.854,1.76,4.77,1.54E-10,1.47E-10,1.19E-10,1.74E-10,2.02E-10,1.8E-10,1.746E-10,1.538E-10,6.8E-30,2013.15,11342,0.00013,4.799,177.7,196,35.3,0.0000289,195.865159,45800000000,5600000000,16000000000,49040000,38300000,2.1E-10,4800000,-51247116.52,51230495.87,20431626.45,-121979752.6,-929486.1945,-51247162.78,51230555.23,20432541.75,-121980712,-929547.8124,-54801765.08,63547555.42,21164116.61,-138636914.1,-876522.9807,-54681783.8,61586147.63,21077103.35,-136471844,-873190.7276
Bi,208.98,83,6,15,1,1,86,5,2,3,10,14,0,3,0,0,29,5,5,3,4.389,702.9918958,90.9856379,2.02,2.14,4.69,2.02,2.01,1.83,6.61,1.43E-10,1.46E-10,1.03E-10,1.62E-10,2.3E-10,1.6E-10,1.7E-10,1.52E-10,7.4E-30,1833.15,9807,0.00012,11.3,104.8,207,7.87,0.0000134,210.337954,31500000000,12000000000,32000000000,,94200000,1.3E-09,770000,-52747383.14,52730540.74,20977743.58,-125508047.5,-947619.9402,-52747486.82,52730671.44,20979366.76,-125509772.6,-947752.4308,-56510130.15,65827615.55,21753240.28,-143198298.3,-892687.7536,-56379800.01,63724004.28,21660398.53,-140874935.4,-889267.4229
Th,232.038,90,7,3,2,1,16,3,2,0,2,0,0,6,8,14,4,2,2,4,4.679,608.5327871,117.1331542,1.3,1.3,2.8784,3.2,1.11,1.03,0.752,1.8E-10,2.06E-10,9.4E-11,1.78E-10,2.4E-10,1.8E-10,1.795E-10,1.652E-10,3.21E-29,5063.15,11720,0.00012,16.1,514.4,576,54,0.000011,598.20886,54000000000,31000000000,79000000000,350000000,400000000,1.5E-10,6700000,-63940986.52,63922643.28,24899336.04,-151687127.2,-1075838.645,-63941026.24,63922692.38,24899831.42,-151687662,-1075888.002,-69472679.8,83872937.14,26024977.04,-178365339.6,-1005254.399,-69244375.01,80464643.15,25882158.16,-174589825.5,-1001350.816
U,238.029,92,7,3,3,1,20,3,2,0,1,3,0,6,9,11,6,2,3,5.78,4.721,597.6299482,50.9442384,1.38,1.7,3.3168,3.4,1.22,1.06,2.92,1.75E-10,1.96E-10,1.025E-10,1.58E-10,1.86E-10,1.75E-10,1.516E-10,1.421E-10,2.74E-29,4091.15,18950,0.00012,14,477,490,27.6,0.0000139,535.493415,97900000000,1.11E+11,2.08E+11,1960000000,2400000000,2.8E-10,3600000,-67366176.17,67347307.46,26232930.51,-159830491,-1115923.165,-67366324.85,67347475.31,26234315.57,-159832016.7,-1116099.06,-73516972.93,89790504.43,27450033.74,-189717802.2,-1039708.88,-73250509.18,85887442.35,27290623.59,-185392813.9,-1035761.207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
